P00027739T0000|0 28|Serum gamma glutamyltransferase
P11238916A0838|81 84|Pyk2
P11560992A0651|81 84|MKK4
P10805729A0987|81 84|DDP1
P11133986A0350|81 84|PU.1
P09801333A0174|81 84|PA-8
P11274184A0000|81 84|HO-1
P01646487A0874|81 83|IgM
P03023682A0271|81 83|CAT
P09030581A0990|81 83|p38
P11287623A0286|81 83|ERK
P08877818A0184|81 83|Lys
P11071924A0588|81 83|SH2
P08388543A1263|81 83|Ras
P09058378A1134|81 83|p53
P11278290A1220|81 83|Agc
P09192998A0356|81 82|T2
P09892021A0712|82 108|basic fibroblast growth factor
P07707544T0000|82 107|immediate-early transcripts
P10438924A1009|82 105|glycogen synthase kinase-3
P09006022A0252|82 104|T7 RNA polymerase promoter
P11145562A0468|82 103|simian virus-40 T antigen
P07473169A0133|82 100|superoxide dismutase
P09498553T0000|82 98|P450 monooxygenase
P09360422A0135|82 95|thrombomodulin
P09670943T0000|82 93|Fc gamma RIIB1
P06858805A0314|82 91|Tuberculin
P08148756A0358|82 91|hemoglobin
P08749394A0874|82 91|RBP-J kappa
P01531632A0000|82 90|nucleolin
P10586115A0477|82 90|TNF-alpha
P02011924A0729|82 90|alpha-IFN
P11313946A0449|82 87|p21 Ras
P11358962A0344|82 86|Foxp2
P11083868A0386|82 86|Elk-1
P08940134A0705|82 85|p130
P09421508A0696|82 85|MafG
P11350982A0560|82 85|GCN2
P10187864A1372|82 85|KCC1
P01840608A0823|82 85|nifB
P09736697A0783|82 85|ERK2
P11158288T0000|82 85|CREB
P07784078A1064|82 84|PML
P00369397A0280|82 84|FSH
P09029159A0000|82 84|PKR
P10684111A1411|82 84|p42
P09036529A0343|82 84|IgE
P11012680A0676|82 84|Src
P10085605A0239|82 84|hCG
P07518561A0496|82 84|CD3
P11152344A0416|82 83|C2
P11074210A0623|82 83|BP
P08817324A1070|83 123|immunoglobulin-like CAGGG pentamer sequences
P10344736A0796|83 104|cyclin E immunocomplexes
P09925372A0458|83 103|Kruppel-associated box
P08413209A0159|83 101|DNA-binding proteins
P07782775A0889|83 97|BBTV coat protein
P10563789A1951|83 94|FSH receptors
P10650938T0000|83 93|trout ER gene
P08592590A0822|83 92|interferon
P07592676A0466|83 91|NIP region
P08639837A0268|83 91|Ets family
P11000250A0200|83 91|NF-kappaB
P03371806A0000|83 91|anti-HSAP
P10406462A1127|83 90|RXRalpha
P11162936A2727|83 89|ERalpha
P08182041A1067|83 89|insulin
P11371343A0125|83 89|securin
P08662789A0673|83 88|RPS30A
P09651375T0000|83 88|PSD-95
P07963540A0795|83 87|c-Rel
P10532805A0792|83 87|nrg-1
P09294161A0650|83 87|NF-E2
P11438654A1237|83 87|c-Akt
P01627830A0000|83 86|CKI2
P01545806T0000|83 86|MER2
P11572467T0000|83 86|t-PA
P11472523A0535|83 86|AFB1
P07516466A1054|83 86|PP2A
P09341182A0605|83 86|PLZF
P11212249A0993|83 86|AP-1
P11108720A0124|83 86|S6K1
P07862154A0340|83 86|RAF1
P09716183A1036|83 86|ERK2
P10585480A0157|83 85|Rac
P11389085A0290|83 85|p65
P08361755A0734|83 85|SRF
P11058119A0957|83 85|XPA
P11150315A0226|83 85|NGF
P02637597A0362|83 85|IgM
P08649405T0000|83 85|AP1
P07526609A0736|83 84|S1
P10080901A0271|84 99|N-terminal domain
P08754840A0793|84 98|deltabem4 mutant
P10732669A1336|84 97|HD-Zip proteins
P08684522A0415|84 97|type IV collagen
P09233801A1180|84 96|type I receptor
P10826946A1198|84 96|viral gp120 SAg
P10669751T0000|84 96|c-jun promoter
P11200568A0830|84 96|IgG antibodies
P11309373A0783|84 95|mCTR isoforms
P00089778A0000|84 93|fibrinogen
P10103057A0251|84 93|Runt domain
P09893262A1272|84 91|TGF-beta
P09024793A1325|84 91|myogenin
P09030781A0734|84 90|cyclin E
P11094066A0505|84 90|FKHR-L1
P09823775A1122|84 89|Oct-2A
P09067577A0721|84 88|c-ABL
P09882303A1413|84 88|TRAF2
P09622055A0207|84 88|Sli-1
P08692924A0328|84 88|BCL-6
P07853524A1944|84 87|CREB
P11094066A1194|84 87|PI3K
P09727046A0784|84 87|TAL1
P09202859A0091|84 87|PLAP
P10688639A1310|84 87|p300
P08870266A0651|84 87|NodO
P08810278A0682|84 87|p130
P09914518A1217|84 87|AF-1
P09111331A0119|84 87|Mpk1
P08626290T0000|84 87|OmpA
P09218599A0184|84 87|IL-4
P02139473A1603|84 86|Fur
P07483276A0139|84 86|UL3
P06434587A0551|84 86|FSH
P08144631A0000|84 86|SH2
P09122176A0970|84 86|RXR
P10758489A0206|84 86|CDK
P11288208A0712|84 86|CD4
P09148770A0977|84 86|Csk
P07933107A0991|84 86|E75
P09528766A0915|84 86|NGF
P10750021A0728|84 85|P2
P11044097T0000|85 131|human immunodeficiency virus type 1 proviral promoter
P08595878A0201|85 106|receptor tyrosine kinase
P09858571T0000|85 105|cis-prenyltransferase
P07967725A0262|85 101|DNA-binding domain
P10918596A0000|85 101|wild-type molecule
P08630548A0000|85 97|interleukin-1
P09753769A0362|85 97|PBAN precursor
P11413760A0000|85 96|ACh receptors
P11285235A0466|85 95|GATA factors
P02200315A0278|85 94|A60 antigen
P09710614T0000|85 92|integrin
P02582918A0000|85 92|anti-HBs
P01825027T0000|85 91|ATPases
P07530502A0974|85 89|c-kit
P08977235A0588|85 89|STAT5
P09652737A1244|85 89|Fra-2
P01710979T0000|85 88|p130
P01422265A0263|85 88|IgG1
P10861906A0999|85 88|IME1
P01986241A0117|85 88|CUP1
P07708058A0178|85 88|AP-1
P08016102A1238|85 88|AP-2
P01400217T0000|85 88|traF
P09731513A1090|85 88|AP-1
P08798762A1279|85 87|PKC
P09030581A0990|85 87|JNK
P09239635A0477|85 87|IgA
P11375392T0000|85 87|Sp1
P10733591A0146|85 87|p70
P09506959T0000|85 87|Myc
P09236224A0939|85 87|NGF
P09886602A0000|85 87|PSA
P11023832A1038|85 87|PLD
P11211936A1490|85 87|JNK
P08846775A0110|85 86|G1
P01549123A0480|86 114|bZIP transcriptional activators
P01925092A0304|86 111|tissue plasminogen activator
P02577458A0412|86 109|alpha-adrenergic receptor
P08887674A0630|86 107|Ets-responsive elements
P08622698T0000|86 107|Epstein-Barr virus EBNA2
P08227129T0000|86 106|immunoglobulin C2 motif
P07665172A0000|86 105|tissue-specific genes
P08663310A0157|86 105|immediate-early genes
P09065768A0862|86 105|mammalian lactase mRNA
P09584180A0701|86 102|NF-kappaB proteins
P09843378A0187|86 102|SH3 binding domains
P01545523A0000|86 101|rheumatoid factor
P10587576A0596|86 100|SH3GL pseudogene
P10347203A0832|86 99|pertussis toxin
P10428862A0834|86 99|endogenous DokR
P09294139A0729|86 98|murine homolog
P07579683A0660|86 98|c-myc promoter
P08546707T0000|86 97|NF-kappa Bp50
P01168607A0672|86 96|prothrombin
P09891065A1493|86 96|PKC-epsilon
P10209031A0832|86 95|SH2 domains
P10391903T0000|86 94|ERK kinase
P03537721A0876|86 93|PEP4 gene
P09582331A0506|86 91|GATA-1
P06090458A0407|86 91|TK gene
P02307371A0263|86 90|c-myc
P09858531A1017|86 90|c-fos
P08900190A0430|86 90|MKP-1
P09028942A0000|86 90|c-fos
P07791769A0826|86 90|TFIIB
P10811804A0800|86 90|Elk-1
P10942587A0981|86 90|HPV E6
P09271400A0475|86 89|E2F2
P11282029A0075|86 89|NF-Y
P09343433A0360|86 89|ADE2
P11250942A0626|86 89|AF-2
P11118440T0000|86 89|ING1
P11521191A0000|86 89|p130
P09466267A1192|86 89|lacZ
P08497280A1397|86 89|SWI6
P07791760A0424|86 89|MAPK
P09802902A0225|86 89|ARF6
P09241232A1154|86 89|Ogg1
P09618481T0000|86 88|Sp1
P09990315A0205|86 88|PKC
P07789809A1246|86 88|Ypt
P11368363A0129|86 88|MPO
P11333268A1521|86 88|Ras
P01446828A1088|86 88|Sp1
P09622121A0525|86 88|PTB
P11139473A0696|86 88|CRE
P10529198A0068|86 88|Sos
P10428811A1067|86 88|Fak
P08631958T0000|86 88|p53
P10675331A0600|86 88|Erk
P08072547T0000|86 88|ERK
P07708497A0000|86 87|TR
P08173532A0000|86 87|S1
P11278286A1083|86 87|MR
P07565669T0000|87 122|myogenic basic helix-loop-helix factors
P11431348A0000|87 116|mitogen-activated protein kinase
P09710621A0598|87 108|Neu juxtamembrane domain
P11740571A0114|87 107|glutathione peroxidase
P08544820T0000|87 105|Drosophila Lsp-2 gene
P09420234A0654|87 105|chaperonin-60 family
P08112601T0000|87 104|recombinant protein
P11384229A1669|87 104|beta-galactosidase
P08621017A1186|87 101|nuclear proteins
P09819440A0000|87 100|RNA polymerases
P10400785A0912|87 100|small GTPase Ran
P07752886A0595|87 99|wild-type FecR
P10438593A0000|87 99|RNA polymerase
P11207261A1421|87 98|Fc gamma RIIB1
P09516472A0292|87 97|Id4 promoter
P11416012A1982|87 97|LDL receptor
P09438427T0000|87 95|Hoxa1 gene
P09759865A0673|87 95|NF-kappaB
P10369418A0644|87 95|NF-kappaB
P01545792A0492|87 95|MLC-2 gene
P02559630A0270|87 94|thrombin
P08647086T0000|87 94|cyclin D1
P02158927A0000|87 94|six genes
P06379363A0415|87 93|insulin
P11074210A0623|87 93|insulin
P09182527A0443|87 92|Nedd-4
P10891286A0000|87 91|actin
P11207308A0999|87 91|STAT1
P01532229A1264|87 91|MEF-2
P08100843A0134|87 91|mCD22
P10684111A1411|87 90|MAPK
P10811908A0938|87 90|NCLK
P08709224T0000|87 90|Ini1
P09445488A1169|87 90|SUR1
P09748286A0000|87 90|LIFR
P08940134A0705|87 89|Cas
P09148770A0977|87 89|SH2
P08617311A0979|87 89|IgE
P09736715A0729|87 89|ILK
P08580083A0259|87 89|Fyn
P09367676A0275|87 88|P1
P07045156A0204|88 106|human immunoglobulin
P10769144A0000|88 105|cAMP-regulated gene
P09417493A0823|88 104|C-reactive protein
P10571047A1009|88 103|HindIII fragments
P09760243A0970|88 102|apoCIII promoter
P10379942A0956|88 102|MDV2 UL10 protein
P07803809A1852|88 101|tyrosine kinase
P02223773A0000|88 100|actin monomers
P08034680A0180|88 100|I kappa B kinase
P10559324A0716|88 99|wild-type p53
P10850453A0713|88 96|TGF-beta1
P09545638T0000|88 94|HRMT1L2
P08396913A1379|88 94|DGK gene
P03001084A0406|88 93|alpha 1
P01682509A0539|88 93|HIV LTR
P08063836A0904|88 92|c-Abl
P10623804A0808|88 92|SHP-1
P08430095A0161|88 92|PRP38
P08709637A1471|88 92|STATs
P02469451A0239|88 92|MAO-B
P10406954A0715|88 91|RegR
P08157009T0000|88 91|AP-1
P07926748A0383|88 91|not1
P10233147A0218|88 91|MAPK
P10533066A1197|88 91|TSC2
P08542027A1471|88 91|CD44
P07969152A0721|88 91|CUP1
P10224244T0000|88 91|INO1
P08386317T0000|88 91|CREB
P10736223A1227|88 91|PrgX
P11133986A0350|88 91|PU.1
P08441394A1297|88 91|junB
P10607899A0605|88 90|Sp1
P09292499A0887|88 90|PTB
P10938120A1093|88 90|PKA
P10022850A0929|88 90|Zta
P11704380A1608|88 90|Rev
P08361761A0174|88 90|Sp1
P02182618A0168|88 90|CAT
P09712898T0000|88 90|JNK
P10627532A0739|88 90|p38
P11094087T0000|88 90|MEK
P06634712A0557|88 89|CT
P03818467A0180|88 89|Se
P08194549A0000|88 89|CP
P01584812T0000|89 124|zinc-finger transcription factor NGFI-C
P09642214A0244|89 118|mitogen-activated protein kinase
P08955136A0606|89 113|erythroid PIP5KI antibodies
P09121432A0000|89 111|protein-tyrosine kinases
P07721422A0241|89 110|mouse type 2 receptor gene
P11559547T0000|89 110|orphan nuclear receptors
P03499608A1054|89 106|11 beta-hydroxylase
P07490770A0267|89 106|yeast coxI intron aI4
P06290859A0426|89 106|anti-HBs antibodies
P09328349A1679|89 105|alpha-subunit gene
P08940298A0962|89 104|estrogen receptor
P02002051A0276|89 103|bovine C-subunit
P08065331A0279|89 100|wild-type HLF
P11509615T0000|89 100|IL-2 receptor
P01310154A0879|89 98|FBR protein
P10381377T0000|89 95|insulin
P09671496A0557|89 93|c-Cbl
P11408591A0000|89 93|v-src
P09660838A0920|89 92|HSF1
P09030581A0990|89 92|SAPK
P10543728A0358|89 92|AP-1
P09259320A0830|89 92|DSBP
P10413676A1193|89 92|FRNK
P11359907A0099|89 92|VEGF
P02668691A0570|89 92|nagD
P10207049A0693|89 92|Glc7
P11211936A1490|89 92|SAPK
P02123467A0811|89 91|Sp1
P09506959T0000|89 91|Max
P10207049A1001|89 91|HSF
P07522163T0000|89 91|MHC
P07687320A0526|89 91|ge6
P10597222A1371|89 91|p21
P09045919A1250|89 91|p50
P09891046A0269|89 91|PKR
P09173733A0404|89 90|EA
P08476854A0097|89 90|P1
P09371596T0000|90 115|nuclear receptor superfamily
P08621384A0935|90 110|epidermal growth factor
P11160902A0962|90 109|PDGF-B proto-oncogene
P02936163T0000|90 109|platelet lipoxygenase
P08001792A0284|90 105|adenylate cyclase
P09000632A2341|90 105|wild-type complex
P06098828A0352|90 104|RNA polymerase II
P08237578A0253|90 104|HDL-cholesterol
P00881630A0000|90 104|Phospholipase-A
P09371455A0000|90 104|metalloprotease
P02900760A0073|90 103|RNA polymerase I
P07901125A0416|90 103|ARO3 homologues
P01320255A0795|90 102|nuclear factor
P08138180A0593|90 101|SPT10 protein
P06322183A1070|90 101|NPT II protein
P07949164A0799|90 101|IL-6 promoter
P07957559A1557|90 100|p70 S6 kinase
P09629449A0540|90 100|PMN elastase
P09278450A1338|90 99|NF1 protein
P02502602A0323|90 99|hemoglobin
P10502402A0533|90 98|TRAIL gene
P09409774A0214|90 98|VCSA1 gene
P10763827A1158|90 97|TGFbeta1
P09010223A1850|90 97|EWS-FLI1
P08150970A0434|90 95|TSST-1
P01545818A0696|90 94|v-Src
P08264628A0418|90 94|TFIID
P09442080A0856|90 94|SHP-2
P07959015A0478|90 94|rAMPK
P11359827T0000|90 94|SPE-J
P10523640A0367|90 94|Stat3
P10799501A1391|90 94|Cdc42
P10498717A1048|90 93|RsmA
P08626325A0543|90 93|UmuD
P07780738A0091|90 93|PCNA
P01768648A0853|90 93|cRel
P02536160A0518|90 92|CAT
P10233946A0000|90 92|Rex
P11042204A0186|90 92|Akt
P08703005A0645|90 92|Sp1
P09484781A1233|90 92|PKB
P08508774A0242|90 92|Lrp
P07919540A1119|90 92|Myc
P07707523A0704|90 92|LMP
P11350812A0829|90 92|ERK
P10771709A0291|90 92|IgM
P10359663A1280|90 92|CAT
P01446828A1088|90 92|AP2
P09372968A0996|90 92|Myc
P01389573A1071|90 91|A2
P11278286A1083|90 91|GR
P10779352T0000|90 91|Rb
P09328476A0068|90 91|U6
P09387999A1053|90 90|R
P08631817T0000|91 138|human deoxyuridine triphosphate nucleotidohydrolase
P10406466A0000|91 112|orphan nuclear receptors
P07807002A0500|91 112|luciferase reporter gene
P09584165T0000|91 108|src tyrosine kinases
P09003463A0198|91 107|human RII alpha gene
P10600171A1066|91 107|CYP3A2 DexRE-1 site
P11011139A0000|91 105|RNA polymerase II
P10940553A0912|91 104|human hPer1 gene
P10572130A1623|91 103|RNA polymerase
P09057648A0422|91 103|c-fos promoter
P10805737T0000|91 101|beta subunit
P01996312A0454|91 100|Dd kinase-2
P08070654A0574|91 100|caltractin
P09738010A0305|91 100|E-box motif
P09383156A0691|91 96|PNPase
P07646439A0535|91 96|mAb F11
P10393422A0476|91 96|LAMB2L
P06279309A0000|91 96|v-erbB
P09649437A1140|91 96|GATA-1
P08276234A0119|91 95|c-fos
P09269900A1035|91 95|c-Jun
P08151787T0000|91 95|IE110
P11890354A0000|91 95|IL-11
P10400593A1084|91 95|virE2
P01633435A0743|91 95|MEF-2
P01767592A0682|91 94|HAP3
P09368026A0435|91 94|FGF2
P11435578A2231|91 94|CREB
P11160688A1726|91 94|ICP0
P08621719A0568|91 94|Grb2
P09315633A0333|91 94|IRFs
P07523363A0440|91 94|USF2
P10637230A0332|91 94|IFNs
P10861906A1479|91 94|CCL1
P02505087A1037|91 94|GCN4
P10336495A0547|91 94|NCoR
P08413215A0327|91 94|IL-8
P01328197A0985|91 93|ras
P08922390A0793|91 93|FAK
P08959778A0292|91 93|DGF
P07483276A0139|91 93|UL3
P09541280A0404|91 93|IgE
P09658403A1207|91 93|CAT
P11255423A0211|91 93|CD4
P09006914A0812|91 93|JNK
P10910908A0767|91 93|EPO
P07511818A0485|91 93|IFN
P07802655T0000|91 92|L1
P02902656A0481|91 92|TR
P08289793A1226|92 129|Oct4 embryonic stem cell-specific enhancer
P11094087T0000|92 126|extracellular signal-regulated kinase
P07988730A0220|92 123|chloramphenicol acetyltransferase
P10482516T0000|92 122|Bacillus subtilis trpEDCFBA operon
P10512857A0000|92 119|TCF-type transcription factors
P07768953T0039|92 116|calmodulin-binding IQ motif
P01529530T0000|92 116|ISGF3 transcription complex
P08021175A0486|92 115|cyclic AMP receptor protein
P01327758A0000|92 111|full-length E2 protein
P09372451T0000|92 111|integrin beta 1 subunit
P09193077A0000|92 107|chalcone synthase
P11241166A0677|92 105|leptin receptor
P10942599A1298|92 104|Hoxa-1 protein
P09535851A0591|92 103|gamma isoform
P02877124A0000|92 101|H1 receptor
P11034392A1072|92 100|NF-kappaB
P09418882A0760|92 98|U1 snRNA
P11162936A2727|92 97|ERbeta
P10606515A0389|92 97|DNase I
P10228009A0600|92 96|TRAF2
P07597030A0260|92 96|TFIID
P09312087A0000|92 96|SHP-2
P01710979T0000|92 95|p110
P11007961A0930|92 95|PP2A
P08921865A1293|92 95|gp17
P11127200A1024|92 95|AP-1
P08995410A0000|92 95|eIF2
P10607899A0605|92 95|CREB
P10861906A0999|92 95|IME2
P10446998A0955|92 95|junB
P07749461A1022|92 94|CAT
P09162084A0956|92 94|SH2
P11073870A0375|92 94|PHC
P07607669A1112|92 94|Sp1
P08131746A0140|92 94|MEK
P11375392T0000|92 94|Sp3
P09852136A0507|92 94|Rho
P09952378A0529|92 94|IgG
P10428811A1067|92 94|Src
P08020962A1226|92 93|L1
P10942587A0981|92 93|E7
P11538437A0568|92 93|N2
P09442031A0586|93 133|C-terminal truncated TSHR ectodomain variants
P06328504A0161|93 114|phosphoglycerate kinase
P10454561A0594|93 110|phytohemagglutinin
P11463359A0167|93 106|luciferase gene
P08428940A1763|93 105|RNA polymerase
P07958911A0500|93 104|homeotic gene
P02445751A0925|93 103|beta subunit
P01711041A0348|93 102|beta-chain
P08164679A0809|93 102|Runt domain
P02340595A0124|93 101|tRNA genes
P10521443A0486|93 101|NF-kappaB
P11114718A0349|93 100|cyclin D1
P07806507A0121|93 99|CD3 zeta
P09049198A0289|93 99|p21 gene
P08704240A1111|93 99|PIXY321
P09348226A0852|93 98|Crk-II
P01459885A0705|93 98|alpha 1
P11350038A0459|93 98|hY RNAs
P11122381A0908|93 98|GM-CSF
P11145563A0202|93 98|SREBPs
P10568744A0728|93 98|alpha2
P08900190A0430|93 97|c-Fos
P08977235A0588|93 97|STAT1
P10760950A1133|93 97|actin
P10544037A0617|93 97|FZD10
P11179664T0000|93 97|RUNX1
P07871721A0392|93 96|p223
P10790390X0000|93 96|mdg4
P09843572A0944|93 96|Wee1
P07487908A0230|93 95|CAT
P11423991A1393|93 95|p53
P08622887A1026|93 95|DBD
P07528772A1539|93 95|SH2
P08230452A1489|93 95|VP1
P11530684A0667|93 95|NK1
P09506959T0000|93 95|Mad
P07699632A0715|93 95|SPA
P11108720A1130|93 95|MEK
P10679065A1217|93 95|BCR
P02969316A0002|93 95|ANP
P02153683A1579|93 95|Na+
P08631760A0609|93 95|Crk
P09582331A0506|93 95|SP1
P08647802A0000|93 95|SH2
P08394464A1080|93 95|p20
P10869076A1384|93 95|Rho
P08524292A1022|93 95|AP1
P09553134A0596|93 95|PP1
P02957125A0601|93 95|ANP
P07693975A1418|93 94|PR
P10215485A0837|93 94|mI
P09584194A1305|93 94|G2
P09032267A0850|93 94|TR
P10497199A0559|94 147|chicken ovalbumin upstream promoter-transcription factor II
P02174427A1574|94 137|wild-type ubiquinol-cytochrome c oxidoreductase
P01697928A1214|94 129|interferon-stimulated response element
P08575754T0000|94 117|cyclin D-dependent kinases
P02962859A0276|94 117|U1 snRNP-specific A antigen
P08028671A0687|94 115|cAMP responsive promoter
P02850967T0000|94 115|cAMP-responsive element
P10731411A0958|94 113|DEAD-box RNA helicases
P02566613T0000|94 112|DNA-binding proteins
P08316240A1068|94 112|MluI restriction site
P08387994A0980|94 112|chromosomal attB site
P01978834A0076|94 112|K-ATPase beta subunit
P10329566A0610|94 111|tRNA-like structure
P01674817T0000|94 110|RNA-binding domain
P02846852A1459|94 108|L strand promoter
P03015611A0331|94 108|ATP-binding site
P07494314A1287|94 106|LMP2A homologs
P09639565A0225|94 105|SV40 promoter
P09169593T0000|94 105|casein kinase
P07651734A0961|94 103|LIMK-2 mRNA
P08922390A0361|94 101|paxillin
P10684646A0224|94 101|caveolin
P08837503A0392|94 100|SbHRGP3
P08717559A0223|94 99|anti-D
P10733591A0533|94 98|Cdc42
P09618150A1464|94 98|MEK-1
P08637711A1121|94 98|IRF-1
P09882451A0195|94 98|HEM15
P09694869A0932|94 98|Stat3
P10586115A0477|94 97|IL-6
P08810278A0682|94 97|p130
P10369757A0000|94 97|ArgR
P03915540A0863|94 97|gcn2
P09715278A1526|94 97|FGF4
P09618475A0747|94 97|Nrd1
P08441423A0145|94 97|GCN4
P10938120A1093|94 97|MAPK
P09428389A1805|94 97|LHRH
P09566882A0693|94 97|Pho2
P08444345A0403|94 97|DbpB
P07791764A0357|94 97|Grb2
P11000250A0200|94 97|AP-1
P07919540A1119|94 96|Max
P09753241A0524|94 96|MPO
P10748125A0000|94 96|PP1
P09484781A1233|94 96|Akt
P10627532A0739|94 96|JNK
P09453689A0000|94 96|BCR
P07541912A0485|94 95|P1
P09591221A0137|94 95|P1
P10087993A1352|95 122|beta globin gene flanking region
P09565606A0520|95 118|repZ ribosome-binding site
P01618027A1108|95 114|wild-type E10 fragment
P10320480A0451|95 113|E. coli RNA polymerase
P04014833A0400|95 112|phytohemagglutinin
P08720407A1386|95 112|interleukin-1 alpha
P10026784A0331|95 112|POU DNA binding motif
P09373155T0000|95 112|axonemal dynein gene
P10666222A0330|95 110|survivin proteins
P10490835T0000|95 108|tyrosine kinase
P01883992A0922|95 107|beta-zein gene
P00956554A0414|95 107|IgE antibodies
P11030744A0763|95 105|DPM synthase
P03194410A0771|95 104|UOxase gene
P09115279A0345|95 104|Pch1 kinase
P07590744A0829|95 102|GAR1 gene
P00534613A0000|95 102|collagen
P11145887A1393|95 99|c-Fos
P07670504A0834|95 99|G-box
P09129147A0644|95 98|CREB
P03952387A0336|95 98|HbO2
P08626325A0543|95 98|UmuD
P08849778A0226|95 98|CopA
P09121433A0463|95 98|MEF2
P09712919A0307|95 98|CREB
P03553149A0299|95 98|LexA
P07896088A0720|95 98|RIF1
P09528766A0915|95 98|CREB
P10320579A1831|95 98|HAPs
P01842498A0000|95 97|PHA
P09670943T0000|95 97|BCR
P07657668A0642|95 97|Fyn
P09837715A0581|95 97|CAT
P10614857A0584|95 97|IFN
P11278583A0873|95 97|ERK
P10574913A1108|95 97|Src
P09712898T0000|95 97|p38
P09724654A1120|95 97|RPA
P07799948A0777|95 97|Src
P08253958A0000|95 97|IgG
P07687541A0992|95 97|Ran
P01850105A1093|95 96|Id
P09835615A0574|95 96|R1
P09582350A0165|96 130|branched-chain ketoacid dehydrogenase
P10502216A0289|96 121|tissue plasminogen activator
P08530369A0099|96 119|Src family tyrosine kinases
P07802655T0000|96 119|L14 ribosomal protein genes
P10430886A0838|96 113|wild-type activator
P07256543A0814|96 112|carboxyhemoglobin
P02083199A1175|96 108|wild-type EGFR
P06298720A0893|96 107|VL30 elements
P11435578A2231|96 106|ATF proteins
P09286115T0000|96 104|RPL21 gene
P11223186A1095|96 103|AP-1 site
P11313398A0687|96 103|PKBalpha
P08703005A0645|96 103|alphaCbf
P10602507A0652|96 103|cyclin D1
P09111314A1243|96 103|TGF-beta
P08634420A1784|96 102|muEpo-R
P09687498A1173|96 102|TRalpha
P11094066A1194|96 102|FKHR-L1
P01420363T0000|96 101|TIMP-1
P01552457T0000|96 100|PT-01
P02510242A0313|96 100|HBs Ag
P10623804A0808|96 100|SHP-2
P07860646A1363|96 100|FGF-2
P07567979A1266|96 100|hERR1
P10094314A0935|96 100|SRp20
P08099443A0359|96 99|GCN2
P09858883A1106|96 99|N-A3
P09927449A0421|96 99|CLN2
P10198003A1505|96 99|rsmB
P08871635A0000|96 99|CD40
P09148935A0805|96 99|ERK2
P09495283A0000|96 99|HSF1
P10488148A1267|96 99|AP-1
P08683108A0965|96 99|junB
P08932363A0807|96 99|E2F1
P08157009A0264|96 99|AP-1
P10103057A0251|96 99|AML1
P08094464A0869|96 99|aroF
P01316903A0296|96 98|IIO
P10773351A0672|96 98|GAS
P09799793T0000|96 98|EPO
P09710582A0535|96 98|MEK
P09099745A1446|96 98|p21
P08992115A0199|96 98|KKS
P07483285A0322|96 98|ras
P11418662A0917|96 98|p65
P01725547A0354|96 98|CBF
P11266184A0000|96 97|MR
P10713176A0422|96 97|Rb
P08395681A0388|96 97|E7
P08622675A0587|97 115|lymphoid factor Lef-1
P08415637A0000|97 115|GTP-binding proteins
P02154686A0185|97 114|beta-galactosidase
P04075021T0000|97 112|monoamine oxidase
P01429624A0328|97 111|adenylylcyclase
P11533238A1137|97 111|HLA-DRA promoter
P09679750A0304|97 111|cyclo-oxygenase
P01396592A1113|97 110|SCL gene product
P11557127A0991|97 109|human MRP2 gene
P10727247A0461|97 109|TEF-1 isoforms
P07494244A0335|97 108|CREB proteins
P10488337T0000|97 108|bZIP proteins
P10544088A0308|97 105|NF-kappaB
P02834478A0000|97 104|Xa factor
P03133360A1215|97 104|trpE mRNA
P09197241A0770|97 102|p53/56
P01545818A0696|97 101|v-src
P09797456A0883|97 101|c-myc
P10391903T0000|97 101|Elk-1
P02521674T0000|97 100|nsP4
P09495771A0379|97 100|FtsK
P10823961A0664|97 100|TRBP
P09467955A0468|97 100|PEA3
P09524276A0939|97 100|OxyR
P09006914A0812|97 99|p38
P10187798A1098|97 99|TNF
P11844812A0915|97 99|PSA
P10866689A0295|97 99|pRb
P08637717A0817|97 99|p21
P10330396A0387|97 99|NPC
P10734312A0503|97 99|Shc
P07958865A1152|97 99|Tek
P08395004A0558|98 129|nonhistone chromosomal protein HMG1
P09287352A0930|98 127|mitogen-activated protein kinase
P08621730T0000|98 126|transforming growth factor-beta
P11505407A0461|98 121|tumor necrosis factor alpha
P01967130A0645|98 120|human DNA binding proteins
P08642282A1009|98 120|B7 costimulatory molecule
P07739542A1419|98 118|retinoblastoma protein
P02188168A0000|98 116|anti HIV-1 antibodies
P08317092A0304|98 115|RNA polymerase motif
P07565709A0000|98 111|T-cell receptor
P11162576A0213|98 111|human PDE5A gene
P07814388A0662|98 111|pertussis toxin
P01398068A0948|98 111|RGC DNA sequence
P11132148A0162|98 110|HLA class I loci
P07575416A1970|98 108|PKC zeta mRNA
P07844155A0327|98 108|LAR isoforms
P10563836A1234|98 108|AP-2 protein
P09121424A0296|98 108|Snf2 homolog
P09811730A1396|98 107|KCS protein
P09575217A0971|98 106|C terminus
P10336495A0547|98 106|PPARalpha
P09349501A0196|98 106|MLL-LTG19
P09710591A0981|98 106|MAP kinase
P01695378A1406|98 105|FKBP mRNA
P10318859A0535|98 105|paxillin
P10471746A1102|98 105|Myogenin
P08284227A0336|98 104|Id1 mRNA
P10074282A0236|98 104|cGMPase
P01545787A0345|98 104|NFIL-2B
P08535138A0857|98 103|cycMs4
P09430668A0172a|98 103|SREBPs
P08608222T0000|98 102|STAT3
P01333317A1008|98 102|PRF-I
P01688841A0430|98 101|virF
P10657899A0685|98 101|AP-1
