P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P01874752A0948|56 58|p58
P09426143A1358|56 58|CRP
P09169593T0000|56 58|MEK
P11150315A0844|56 58|EGF
P01321277A0342|56 58|ROS
P10068446A0124|56 58|PKC
P08112870A0484|56 58|SOD
P07559650A0558|56 58|E2F
P02928376A0312|56 57|H2
P07493327A0507|56 57|U4
P07872788A1717|56 56|C
P02376023A0307|56 56|P
P09837933T0000|57 99|peptidylglycine alpha-amidating monooxygenase
P11078726X0000|57 93|p53-dependent transcription. p53 protein
P01735721A0185|57 87|Bacillus stearothermophilus TyrTS
P11359907A0099|57 87|vascular endothelial growth factor
P11223246A0359|57 86|retinoblastoma-binding proteins
P02102823A0492|57 84|neomycin phosphotransferase II
P11094066A0505|57 83|forkhead transcription factor
P08952483A0207|57 83|hamster lysyl-tRNA synthetase
P09091125A0161|57 83|alkaline and acid phosphatases
P10648020A0151|57 82|tissue plasminogen activator
P09079928A0525|57 81|oxyR-ahpC intergenic region
P08943354A0295|57 80|Jak family tyrosine kinases
P09643546A0436|57 80|sigmaA-dependent promoter
P09590540A0513|57 80|N-terminal signal sequence
P08392623A1374|57 77|helix-turn-helix motif
P10576545A0926|57 77|murine D1A gene promoter
P02144610A1306|57 77|T-cell nuclear proteins
P08910292T0000|57 77|c-Jun N-terminal kinase
P07592711T0000|57 76|G protein alpha subunit
P01547957A1083|57 76|N-terminal aa sequence
P07961957A1565|57 75|HF-1a-related factor
P06495195A0536|57 75|alkaline phosphatase
P02556264A0278|57 74|kappa chain enhancer
P08195216A1022|57 74|TATA-like sequences
P10799879T0000|57 74|pleckstrin homology
P09716179A0974|57 74|RA-responsive genes
P09813254A0000|57 73|a family interferon
P09705564T0000|57 73|E1E4,E5 transcript
P08002564A0249|57 72|C-terminal region
P08226616A0000|57 72|nitrate reductase
P10411139A0887|57 71|wild-type Prp44p
P10419521A0136|57 71|RNA polymerase II
P08062833A0000|57 71|mouse desmin gene
P09792439T0000|57 70|hnRNP C1 protein
P08207795A0409|57 69|64-kDa protein
P09737453A0557|57 69|IgG antibodies
P11207282A0729|57 69|chicken Notch1
P11179272T0000|57 69|IgG antibodies
P03020513T0000|57 68|gyrA-protein
P09891061A0373|57 68|SpHE promoter
P10628748A0344|57 68|inhibin alpha
P07878029A0721|57 68|CBF-C complex
P07958920A1157|57 67|RNase MRP RNA
P09660823A0934|57 67|p70 S6 kinase
P11469853A1053|57 67|small GTPase
P01398068A0948|57 67|p53 proteins
P09844106A0835|57 67|fibronectin
P08367487A1014|57 67|12S U2 snRNPs
P02243386A0113|57 66|small DI RNA
P02036066A0000|57 66|hemoglobin
P11027267A0752|57 66|krr1 mutant
P10521509A0000|57 66|disheveled
P01826003A0694|57 65|SIG family
P09717835A0941|57 65|IRS family
P09570952A0000|57 65|M-protein
P02985820A1287|57 65|c-myc gene
P10779508A0897|57 65|ERRalpha1
P03332022A1094|57 64|c-raf(-1
P09806858T0000|57 64|rnaI gene
P08149484A1551|57 64|PKC delta
P09233801A1180|57 64|TGF-beta
P08349104A0450|57 64|TSF genes
P09247645A0000|57 64|SEC genes
P06869986A0000|57 64|collagen
P09343398A1193|57 63|pcna-79
P09346953A0000|57 63|HSPGact
P11888867A0000|57 63|TA90-IC
P09162084A0956|57 63|PECAM-1
P08649425A0373|57 62|DNase I
P09241232A0653|57 62|AP site
P11071852A0297|57 62|SOCS-3
P07901125A0416|57 62|DAHPSs
P03001353A0146|57 62|P58gag
P09790771A1032|57 62|Gng3lg
P01545818A0696|57 61|v-Src
P10532805A1084|57 61|AB.11
P08058326A0463|57 61|tal-1
P09642214A0244|57 61|SHP-2
P08626325A0543|57 61|UmuD'
P10918572A0794|57 61|ErbB3
P01374392A0341|57 61|NHE-2
P07652575A0435|57 61|Cdc42
P10400593A1084|57 61|VirE2
P09832505A0903|57 61|Oct-1
P01697928A1214|57 61|Ly-6E
P08072547A1009|57 61|c-Jun
P09234703A0192|57 61|Cdc42
P03520729A0381|57 61|renin
P08415712A1153|57 61|GPRK6
P08108343A0000|57 60|GnRH
P07579695A0336|57 60|MIF2
P08566756A0752|57 60|SF3b
P10350484A0346|57 60|CheA
P10400785A0912|57 60|CRM 1
P09544987A1583|57 60|NCoR
P08253387A0801|57 60|hLEF
P10793143A1533|57 60|Abf1
P09067577A0721|57 60|CRKL
P10194451A0000|57 60|p210
P07642538A0138|57 60|RSK3
P08468475A1280|57 60|YT-1
P02312470A0774|57 59|Na+
P09920930A0521|57 59|SRE
P06181216A0070|57 59|IgA
P08677678A0258|57 59|NSP
P10541432A0185|57 59|EGF
P11193045A1193|57 59|p63
P08421910A0599|57 59|p46
P09321930A0567|57 59|MCC
P09605934A0801|57 59|USF
P08654983A0000|57 59|Srb
P02532032A0385|57 59|PRC
P09622121T0000|57 59|PTB
P08923469A1391|57 59|RXR
P08401570A0828|57 59|Sp1
P07665948A0591|57 59|IgE
P09271394A0558|57 59|TIR
P09202147A0866|57 59|UBC
P10850453A1292|57 59|Ras
P09334331A0910|57 59|DER
P04038454A0984|57 59|RBP
P01532796A0107|57 58|F1
P10662614A0972|57 58|CI
P09507032A1144|57 58|IR
P09430668A0172a|58 96|sterol regulatory element-binding proteins
P09592168T0000|58 96|human nucleotide excision repair protein XPA
P07742363A0135|58 94|double-stranded RNA-activated inhibitor
P01456888A0074|58 92|HIV-1 group specific core antigen p55 gag
P01406703A1435|58 91|H-2RIIBP nuclear hormone receptor cDNA
P02541251A1327|58 88|mammalian transcription factor SP1
P11376134A1506|58 88|transcription factor binding sites
P11105129T0000|58 88|Extended-Spectrum beta-lactamase
P11059786T0000|58 88|vascular endothelial growth factor
P07780738A0091|58 88|proliferating cell nuclear antigen
P10722661A0406|58 87|trypanosome cdc2-related kinases
P10652228A0759|58 85|Rho family GTP-binding proteins
P09889202T0000|58 85|dsRNA adenosine deaminase type I
P10660604A0748|58 84|luciferase reporter construct
P10857262A0186|58 83|D. melanogaster type A protein
P08626290T0000|58 82|major outer membrane protein
P08385337A0282|58 81|C/EBP) consensus sequences
P11336698A0075|58 81|yeast remodeler RSC complex
P06585277A0000|58 81|prostatic acid phosphatase
P01116466A0185|58 77|heat-dependent fibrin
P09029091A0881|58 77|phospholipase C gamma 1
P08682868A0738|58 77|ubiquitin-like domain
P10871412A0369|58 77|transforming ribozyme
P07774807A0405|58 77|tissue-specific genes
P11125872A0133|58 76|phosphodiesterase IV
P03540853A0652|58 75|DNA binding proteins
P06185014A0642|58 75|alpha 1-antitrypsin
P09192769T0000|58 75|a chemokine receptor
P08833653A0304|58 74|rat amylin promoter
P08458849A0364|58 72|sigma 54 promoter
P10810083A1283|58 72|zinc finger motif
P07826412T0112|58 71|gamma-subunits
P08580083A0259|58 71|viral promoters
P04371279T0000|58 71|botulinum toxin
P10900129A0138|58 71|CYP3A sequences
P10629035A0827|58 71|G-rich strand (G
P10096573A0207|58 70|nuclear factor
P10574913A1108|58 70|beta-arrestin
P10395199A0792|58 69|anti-Ras scFv
P11158295A0158|58 69|Src homology 3
P08817323A0714|58 69|DXS6673E gene
P08576131A0151|58 69|USF2 isoforms
P09020856A0560|58 68|MCK promoter
P00089778A0000|58 68|plasminogen
P07925282A0705|58 68|SRP proteins
P01552853A1377|58 67|yop regulon
P01774062A0257|58 67|Ring 4 locus
P07945330A0103|58 66|Rex-1 gene
P09755199A0559|58 66|mbt repeat
P09581775A0185|58 66|NF-kappaB
P10611235A1927|58 66|MAPK Fus3p
P09510189A0192|58 65|CD58 gene
P08593813A0967|58 65|Sp1 mRNAs
P01997465A0276|58 65|collagen
P07812450A0849|58 65|nspC gene
P09817601T0000|58 65|P450arom
P02483210A0000|58 64|trypsin
P10660676A0000|58 64|TGFbeta
P10409741A0382|58 64|cdc4-16
P08289834A0341|58 64|activin
P09199292A0536|58 64|cyclin E
P10567581A0119|58 64|HFH-11B
P07857086A0949|58 64|Insulin
P09312025A0373|58 64|PKC zeta
P01939878A0765|58 63|casein
P10483124T0000|58 63|CIC2B9
P11687180A3209|58 63|rHu EPO
P08763925A0588|58 63|c-gvpE
P11292839A0531|58 63|U6 gene
P07943556A0694|58 62|Og4C3
P11137296A1216|58 62|PFK-B
P10702794A1495|58 62|HePTP
P11119611A0428|58 62|LANA2
P08182041A1067|58 62|PEPCK
P02493644A0588|58 62|c-jun
P09353304A0732|58 62|Tiam1
P01532229A1264|58 62|HF-1a
P08264591A1190|58 62|TFIIB
P11553704A0674|58 62|CD533
P10322629A0198|58 62|Pax-8
P09006914A0812|58 62|c-JUN
P09199328T0000|58 62|Oct-1
P02555519A0798|58 61|CDR3
P11564893A1068|58 61|MGMT
P11560992A1184|58 61|SAPK
P11145887A1393|58 61|JunD
P08763953A0805|58 61|traD
P08872162A0884|58 61|CD4+
P09368058A0969|58 61|Cdc2
P08887643A1167|58 61|TC21
P10805737T0000|58 61|eIF5
P09254709T0000|58 61|CcpA
P10467004A0683|58 61|IBS1
P08100057A0577|58 61|CD68
P10891441A0871|58 61|Grb2
P09545638A0330a|58 61|HMT1
P06685004A0000|58 61|SHBG
P10525413A1408|58 61|LIM2
P09545638A0330b|58 61|HMT1
P09892017A2151|58 61|ELE1
P08971721A1314|58 61|HspA
P01400217T0000|58 61|traF
P08524272T0000|58 60|Jak
P08848052A0733|58 60|Rev
P10958698A0485|58 60|HFD
P10706887A1457|58 60|ALK
P10597317A1156|58 60|JBD
P11708761A1388|58 60|ACE
P08395681A0388|58 60|E7s
P01644821A1259|58 60|CAT
P11422757A0737|58 60|ACR
P07592658A0309|58 60|p65
P10454533A0859|58 60|HRI
P11327698A0191|58 60|HBx
P10049357A0608|58 60|Ski
P11012680A0676|58 60|PP2
P09537378A1227|58 60|gcv
P09499048A1003|58 59|gK
P02894789A0954|58 59|T1
P10702241A0357|58 59|a2
P10750020A0843|58 59|ER
P00512215A0000|58 58|L
P02476664A0563|58 58|D
P03035218T0000|59 105|human T-cell leukemia virus type I long terminal repeat
P07814405A1170|59 104|plasma membrane family of guanylyl cyclase receptors
P01331057A0000|59 99|Saccharomyces cerevisiae cytochrome c oxidase
P02129338A0568|59 97|green alga Scenedemus obliquus plastocyanin
P09003410A0000|59 90|Epstein-Barr virus nuclear antigen 2
P10640734A0190|59 90|SH2 domain-containing phosphatases
P01633435A0743|59 89|muscle-specific regulatory factor
P01992459A0000|59 88|human immunodeficiency virus mRNA
P10428811A0628|59 87|beta-adrenergic receptor kinase
P01333035T0000|59 86|Escherichia coli RNA polymerase
P10512699A0364|59 84|selenoprotein-encoding mRNA
P09973607A0254|59 84|Sp100 splice variant proteins
P01325221A0870|59 84|M-phase-activated MBP kinase
P02162754A0339|59 82|adipocyte insulin receptor
P01699944A1538|59 80|CArG box binding proteins
P02019572A0000|59 80|rat liver pyruvate kinase
P08877818A0184|59 79|TRH progenitor sequence
P10361038A0281|59 79|ribosomal protein genes
P07526609A0736|59 78|PKR activator sequence
P09325284A0469|59 77|human progelatinase B
P07826625X0000|59 77|TATA-binding protein
P11554469A1386|59 76|cellulose synthases
P07547500A0066|59 75|DNA-binding domain
P08662617A2051|59 75|HP-binding protein
P07760819A0731|59 74|PDGF beta receptor
P11233643A0000|59 74|protoporphyrin IX
P08248253A1785|59 74|chicken L-CAM gene
P11584328A0532|59 74|CYP450 isoenzymes
P08661116A0963|59 74|endogenous D3 mRNA
P11350175A0173|59 73|prolyl isomerase
P01360180A0513|59 73|wild-type kinase
P11071924A0588|59 73|chimeric protein
P10229668A0560|59 73|UBI4 5'-CLN3 mRNA
P09421511A0827|59 72|RNA-polymerase
P10958698A0280|59 72|Cse4p N terminus
P07559402A0622|59 72|protein kinase C
P09712898A0911|59 72|protein kinases
P10548722A0099|59 71|TcP2beta genes
P08246987A0260|59 70|Src homology 2
P10444813A0448|59 70|interferon-a
P10601280A0674|59 69|ST3 promoter
P02201901A0229|59 69|SSN6 protein
P09464525T0000|59 69|Fv fragments
P11160280A1275|59 68|IRF element
P09626662A1076|59 68|RXR subunit
P01538401A1244|59 67|5 S RNA gene
P09763522A2545|59 67|TNF-alpha
P11160683A1220|59 67|C/EBP site
P09469820A0151|59 67|YAP2 uORF1
P10794405A0000|59 67|histone H1
P09369482A0690|59 67|HNF1alpha
P08321203A0840|59 67|C/EBP beta
P08617311A0979|59 67|avian mIgY
P02124710A1624|59 66|AP-1 site
P10485470A0242|59 66|Sp1 sites
P09037163A1652|59 66|gpc4 gene
P06858805A0314|59 66|Candidin
P00336354A0543|59 65|insulin
P10758489A0206|59 65|Cdc2aAt
P07799925A0526|59 64|p59fyn
P09687498A1173|59 64|v-erbA
P01620118A0470|59 64|kappa B
P11255252A0961|59 64|FXR HRE
P01748630A0125|59 63|c-Myc
P10933728A1398|59 63|EBNA2
P08990168A0688|59 63|STAT1
P10708424A0800|59 63|BGLF4
P09498553T0000|59 63|CYP51
P10871347A0477|59 63|PyRo1
P08160905A0217|59 63|HBsAg
P10369418A0644|59 63|CD40L
P08643682A0268|59 63|SMMHC
P08294459A0446|59 63|SAP-1
P03016883A0000|59 63|HSV-2
P09121454A1328|59 63|Bur6p
P08621453A0815|59 63|80K-H
P09118704A0771|59 63|G-CSF
P08940134A0705|59 63|PTP1B
P02110145T0000|59 62|CfiA
P10327051A0688|59 62|SAPK
P08308008A0201|59 62|GABP
P10454550A0960|59 62|Glc7
P09736697A0783|59 62|ERKs
P09211981A0526|59 62|suc1
P10026211A0136|59 62|CREB
P07981143A0633|59 62|IL-4
P08524241A0212|59 62|IME1
P08144852A0000|59 62|ACTH
P09584194A1305|59 62|HEF1
P10531342A1111|59 62|ppg1
P07565104A0084|59 62|ToxT
P09135149A0000|59 62|Cdc2
P10913304A0894|59 62|Elk1
P08626529A0799|59 62|p230
P08748033A0874|59 62|LamB
P09223475A0898|59 62|IE86
P10430583A0000|59 62|RecA
P10823961A0664|59 62|DRIP
P11094066A1194|59 62|KIP1
P10679922A1110|59 62|ING1
P00715753A0241|59 61|CPK
P06795832A0148|59 61|IgG
P11238402A0191|59 61|DAN
P11463834A0606|59 61|CBP
P10477583A0000b|59 61|IgG
P09642238A1285|59 61|Sp1
P11070056A0704|59 61|Aa1
P09840928A0884|59 61|H2A
P09234723A0846|59 61|PTB
P09710599T0000|59 61|p44
P09430661A0796|59 61|Nck
P09882303T0000|59 61|JNK
P11108151A0560|59 61|PKC
P10477583A0000a|59 61|IgG
P11111051A0051|59 61|HAT
P10779329T0000|59 61|Src
P08394019A0695|59 61|SH2
P10490604A0601|59 61|Lck
P10557308A0000|59 61|RAS
P10777586A1022|59 61|Sp1
P10224289T0000|59 61|Nef
P07784061A0894|59 61|TTF
P09917389A1239|59 61|GST
P02958204A0175|59 61|HDL
P10850997A1016|59 61|Fur
P07789809A1246|59 60|Cr
P11024182A0781|59 60|AR
P01400401A0065|59 60|E1
P08794326A0405|59 60|GP
P11067928A0532|59 59|D
P09204570A0110|59 59|J
P07172690A0547|60 98|creatine phosphate, creatine phosphokinase
P09032304T0000|60 98|herpes simplex virus regulatory protein ICP4
P09649315A0943|60 97|N-terminally truncated MIP-1 beta variants
P01900194T0000|60 91|bacterial NAD-reducing hydrogenase
P09508775A0293|60 89|mitogen-activated protein kinase
P01684791A0000|60 89|chicken glutamine synthetase gene
P10767553A0100|60 89|winged helix transcription factor
P11145571A0788|60 88|IFN-stimulated response element
P09680994A0169|60 87|basic helix-loop-helix protein
P09371431T0000|60 87|symbiotic terminal oxidase cbb3
P10341219A0481|60 86|recombinant YD-repeat protein
P09748261A0000|60 86|fatty acid activation proteins
P08119907A0000|60 85|insulin-like growth factor-I
P09315678A0278|60 83|rat nucleolar protein NAP57
P07633444T0000|60 83|mouse WD-repeat gene DMR-N9
P10987301A0332|60 83|G protein-coupled receptor
P09689919A1192|60 83|secreted PEDF glycoprotein
P07565720A0256|60 83|glutathione S-transferase
P10438924A1009|60 81|serine/threonine kinase
P03346210A0000|60 80|protein tyrosine kinase
P08820648A0123|60 78|nrdAB-encoded enzyme
P01537334A0507|60 77|coat colour mutation
P01822995T0000|60 77|dicot rbcS promoters
P10438627A0885|60 77|recombinant pfTrm1p
P07791768A0930|60 76|hmr delta A mutation
P09451003A0894|60 76|sigma54 activators
P07588603A1054|60 76|DH regulatory sites
P07783064A0452|60 75|creatinine kinase
P07651424A0743|60 75|SSM1a transcripts
P08618882A0343|60 75|DNA binding domain
P11121118A0075|60 75|N-terminal region
P11500571A0976|60 75|gPAL1 transcripts
P08566773A1023|60 75|fungal chitinases
P07563090A0124|60 74|yeast Ty1 element
P09360993T0000|60 74|serine proteases
P02462523A0394|60 74|su(Hw) mutations
P09144165A0614|60 74|Rel insert region
P01549129A0356|60 74|protein-protein
P03001086A0587|60 74|Drosophila hsp70
P09583208A0171|60 73|immunoglobulin
P07616056A0278|60 73|heavy chain gene
P09420275A1111|60 72|CD23 promoters
P10855690A0870|60 72|hPL-B enhancer
P08660998A0851|60 71|AP-2 elements
P08049444A0351|60 71|98-kD protein
P00331936T0000|60 71|antiglobulin
P02714852T0000|60 71|HLA-B alleles
P09478976T0000|60 70|AP-1 element
P08977235A0134|60 70|JAK2 kinases
P07906265A0897|60 70|fasD mutants
P07890674A0916|60 69|E-cadherin
P02711167A0818|60 69|pepsinogen
P10938102T0000|60 69|NS1 protein
P02776823A0000|60 69|6S)-6-[(1R
P11278390A0632|60 69|PKRDeltaE7
P01711041A0962|60 69|beta-chain
P07902532A1655|60 68|BOXF1 gene
P07565685A0420|60 68|GABP beta 1
P03537721A0491|60 67|PEP4 gene
P08628254A0665|60 67|AP1 sites
P01560774A0885|60 67|fliA gene
P01895393A0745|60 67|Sp1 sites
P10930526A0174|60 67|HuPLSCR1
P08454591A0692|60 67|TSG6 gene
P11160688A1726|60 67|cyclin D3
P09339900A0939|60 67|cyclin D2
P08771781A0103|60 66|oleosin
P08226780A0160|60 66|ankyrin
P01707659A0458|60 66|HLA-5.4
P10545192T0000|60 66|C-raf-1
P10473623A0081|60 66|activin
P07538818A0197|60 66|hG-CSFR
P08790387A0299|60 66|whn gene
P08088777A0754|60 65|D2Mit1
P10662614A0972|60 65|HC-Pro
P08385581A0126|60 65|REC114
P09345037A0886|60 65|GATA-1
P08378082A1031|60 65|p21ras
P03008405A0532|60 64|HVC-1
P01659685T0000|60 64|Dd ras
P09537651A0366|60 64|v-src
P08709245A1521|60 64|Ser-2
P11535832A0586|60 64|HDAC9
P09535835A0279|60 64|Cdc42
P07744776A0617|60 64|U6 RNA
P10395283A0960|60 64|Smad4
P09121430A1075|60 64|c-myc
P07999982A0086|60 64|D9S15
P11003641A0811|60 64|TFIIF
P07565776A0612|60 64|HSP12
P09858883A1106|60 64|T84.1
P09447994A0000|60 64|c-fos
P07605990A1110|60 64|PEBP2
P10671224A0254|60 64|CD95L
P01314953A1266|60 63|HAP2
P02462305A1071|60 63|Ag35
P11027294A0483|60 63|p300
P08617802A0993|60 63|p120
P09712898T0000|60 63|SAPK
P02139473A1603|60 63|entC
P09446616A0780|60 63|Jak1
P07999363A0000|60 63|FGFR
P11335116A1099|60 63|RORE
P09255349A0836|60 63|IRA2
P07864652A0753|60 63|E2L2
P08264650A0925|60 63|MDS1
P09010223A0667|60 63|ETS2
P08861955A0927|60 63|p619
P10864496A0401|60 63|TnrA
P09658122T0000|60 63|PC-1
P02308496A0000|60 62|STH
P09000049A1341|60 62|Myc
P09050849A1459|60 62|GEP
P08973185T0061|60 62|AAC
P09259313A0950|60 62|PRL
P08288596A0663|60 62|rGH
P08843412A0543|60 62|RXR
P09303437A0875|60 62|CAT
P10329736A1106|60 62|Nck
P09045919A1250|60 62|NFE
P08820642A0173|60 62|Hrp
P00512215A0000|60 61|f2
P07413242A0000|60 61|T1
P03517388A0763|60 60|L
P07883193A0000|61 102|Escherichia coli fru transcriptional regulator
P02837763A0259|61 97|rabbit skeletal muscle phosphatase 2A cDNA
P01454819A0000|61 95|NAD:arginine ADP-ribosyltransferases
P10972980A0295|61 92|phosphatidylinositol (PI) 3-kinase
P07487908A0230|61 91|chloramphenicol acetyltranferase
P07836364A0000|61 90|major histocompatibility complex
P09169593T0000|61 90|mitogen-activated protein kinase
P10727413A1244|61 89|hamster CYP7A1 proximal promoter
P09605934A0801|61 85|upstream stimulatory factor
P10082137A0262|61 85|interferon regulated factor
P10698974A0951|61 83|human STAG3-related genes
P07644466A0578|61 82|serine proteinase domain
P01318310A0000|61 82|high density lipoprotein
P09755191A0553|61 82|clathrin heavy chain gene
P07791769A0826|61 82|TATA box-binding protein
P09536028A0945|61 81|cyclooxygenase product
P10364202A0646|61 81|hepatic leukemia factor
P09311810A0814|61 80|alpha0 deletion mutant
P09918715A1158|61 78|TATA binding protein
P09096958A0000|61 78|human platelet talin
P08428953A1718|61 78|beta-galactosidase
P08538052A0000|61 78|zinc-finger protein
P08223613A0519|61 77|S. cerevisiae genes
P10359664A0579|61 77|lysyl endoprotease
P02405393T0000|61 76|human c-ets-2 gene
P03041802A0975|61 75|fibrinopeptide A
P10455183A0930|61 75|Staf zinc finger 1
P07835273A0000|61 75|insulin receptor
P07813786A0641|61 75|XMyoDa TATA motif
P09863624A0629|61 74|mammalian CRF1s
P08393143A1281|61 74|viral tat factor
P00837811A0675|61 73|gamma globulin
P10498616A0157|61 73|interleukin-3
P03146150T0000|61 73|Pro-urokinase
P02907533T0000|61 72|human albumin
P09605137A0677|61 72|IL-2 promoter
P02052544A0641|61 72|dpb2-1 mutant
P11000250A0200|61 72|JAK molecules
P02580830A1131|61 72|human AFP gene
P02868446A0184|61 71|dnaG protein
P10491213A0263|61 71|osteocalcin
P02233715A0914|61 71|IL-6 TATA box
P01767899A0136|61 71|prothrombin
P09305944A0621|61 71|rna1p mutant
P08798762A1279|61 71|Cut proteins
P09823775A1122|61 71|HLA-DRA gene
P10074903A0915|61 71|p202 protein
P09243505A1194|61 71|MADS domains
P08856077T0000|61 70|interferon
P07877619A1284|61 70|zif268 gene
P11118062A1691|61 69|K-ras gene
P08794339A1162|61 69|deltaCREB
P03928442A0463|61 69|Mtase gene
P09108279A0431|61 69|wild-type
P07678242A0473|61 68|acc genes
P11172944A0826|61 68|TNFalpha
P08922390A0361|61 68|paxillin
P09599664A0881|61 68|RXR alpha
P03006066A0653|61 68|P75c-myb
P09243840A0663|61 68|HLA-DQA1
P07862162A0408|61 68|OPI1 gene
P01320640A0336|61 67|insulin
P09618150A0127|61 67|insulin
P10657899A0685|61 67|PKCzeta
P01502157A0000|61 67|c-MYC P1
P10369775A0178|61 67|human ER
P11278563A0917|61 67|ankyrin
P10454557A0975|61 66|ARS302
P11325944A0511|61 66|GST-Bc
P10392903A0889|61 66|cdc25B
P10594239T0000|61 66|TDAG51
P11067928A0532|61 66|Vkappa
P07494244A0335|61 65|c-fos
P01321280A0494|61 65|BPV-1
P08937989A1365|61 65|talin
P09192998A0356|61 65|T7 DNA
P09012405A0785|61 65|TFIIH
P09032258A0395|61 65|LFA-3
P04246054T0028|61 65|RAMLG
P10767338T0000|61 65|Ca(2+
P09321930A0567|61 65|BRCA1
P08001136T0000|61 65|TFIIH
P08072547A0690|61 65|c-Jun
P10392900A1020|61 65|c-Abl
P09441664A0377|61 65|HNF-6
P08668210A0000|61 65|Raf-1
P10588946A0432|61 65|ORP-1
P07579695A0693|61 65|Cep1p
P09649537A0000|61 65|yGCN2
P08430095A0161|61 64|SMD1
P11340080A0096|61 64|Rad9
P08932385T0000|61 64|Nrf1
P10713083A0560|61 64|TraM
P09780228A0613|61 64|FkbA
P10650939A0789|61 64|AP-1
P07542616A0313|61 64|GCN4
P08617216A0584|61 64|GrpE
P01551568A1476|61 64|rpoB
P10850453A1292|61 64|MAPK
P08654435A0540|61 64|Erk2
P09789025A0149|61 64|RhoA
P11258906A0743|61 64|Rec2
P10364159A0813|61 64|mTOR
P11357063A1053|61 64|gpLH
P09079650A0136|61 64|ERKs
P10660069A0819|61 64|PBS2
P01448107A0361|61 64|GCN4
P10650939A1542|61 64|PR-A
P09334331A0910|61 64|Egfr
P07782302A0479|61 63|Ran
P09425036A0649|61 63|Lck
P10441506A0098|61 63|PKN
P10750020A0843|61 63|Sp1
P01870428A0677|61 63|LDL
P07693975T0000|61 63|Gag
P08666102A0820|61 63|Ptc
P07651398A0803|61 63|DER
P09104816A0610|61 63|Vpu
P09920930A0521|61 63|Luc
P11433014A0683|61 63|H2B
P10903877A0879|61 63|PKC
P10543730A0000|61 63|Cdk
P09418905A1396|61 63|Ras
P10871379A0261|61 63|HCF
P11207269A0745|61 63|p95
P10521447A1190|61 63|ETO
P08421910A0599|61 63|p50
P09341182A0605|61 63|BTB
P11278286A1083|61 62|MR
P09694897T0000|61 62|U1
P10499357A0439|61 62|FR
P02894789A0954|61 62|T0
P11538437A0568|61 62|N2
P07565740T0000|62 104|Pdr5 ATP-binding cassette multidrug transporter
P09601940A0280|62 99|cytokine-inducible transcription factors
P09837715A0581|62 93|chloramphenicol acetyltransferase
P09084174A0667|62 91|3-isopropylmalate dehydrogenase
P10940562T0000|62 88|O-acetylserine (thiol) lyases
P07933066T0000|62 86|retinoblastoma gene product
P07888623A0721|62 85|Arabidopsis ATMPK1 kinases
P01727488A1146|62 85|tat-induced activated gene
P08649427A0689|62 85|GTPase-activating protein
P01721884A0962|62 84|retroviral ribonuclease H
P09367676A0275|62 83|recombinant phage lambda
P11311550A0253|62 83|rat eIF4E promoter region
P10629176A0887|62 81|S. cerevisiae FBP1 gene
P10628750T0000|62 80|angiotensinogen gene
P10448902A0921|62 80|superoxide dismutase
P02574052A0910|62 78|beta-adrenoceptor
P01556068A0000|62 77|monoamine oxidase
P09649437A1140|62 77|Ets family members
P02121371T0000|62 77|yeast IRA proteins
P09535851A0591|62 77|PtdIns(4)P kinase
P09057841T0000|62 76|isocitrate lyase
P07693132A0100|62 75|Zm-ERabp5 genes
P08808275A1193|62 75|mammalian genes
P07745684T0000|62 75|protein kinase C
P08057356A1824|62 74|NarL heptamers
P01708098A0922|62 74|alpha promoter
P10805747A0633|62 73|S. cerevisiae
P09309457A0680|62 73|endothelin-1
P10611242A0541|62 73|HIS3 promoter
P08636031A1413|62 73|pvdS promoter
P09380697T0000|62 73|caveolin gene
P11160721A0932|62 73|TBLV enhancer
P02970640A0341|62 72|E1A proteins
P08055939A0159|62 72|H1 molecules
P08111974A1034|62 72|tubulin mRNA
P08485317A0000|62 72|dis1 mutants
P03939317A0352|62 71|HS promoter
P10066815T0000|62 71|p85 subunit
P09482902A0423|62 71|Pctr1 locus
P10220275A0694|62 71|Gbetagamma
P10574982A1075|62 71|USF-1 and -2
P09242506A1033|62 71|DP proteins
P09891061A1240|62 71|SpEts4 gene
P06325415A0757|62 71|Ad7 protein
P02543679A1291|62 71|E. coli DnaJ
P08438584A0524|62 70|C1-C2 gene
P11042204A0186|62 70|p38 kinase
P02592543A0106|62 70|hemolysin
P08086450A0467|62 70|hATP1 gene
P10733581A1391|62 70|V12N38 Ras
P07493327A0507|62 69|U6 snRNAs
P07865895A0896|62 69|mAb 3.2.3
P06328485A0277|62 69|delta gag
P08621628A1233|62 69|hGRalpha
P08524284A0309|62 69|PTF delta
P07533880T0000|62 69|traJ mRNA
P10215608A0161|62 69|rat GSTA3
P09016566A0655|62 69|BiP mRNAs
P08756597A0854|62 69|psaB mRNA
P10385915A1341|62 68|D3S1766
P07871754A0857|62 68|HPV gene
P08288622A0725|62 68|HDC mRNA
P08025669A0724|62 68|sigma 54
P09774641A0824|62 68|cyclin D
P01711048T0000|62 67|I) gene
P09343433A0000|62 67|RNAP II
P08639837A0268|62 67|GATA-1
P09268638A0332|62 67|D8S260
P07501458A0578|62 67|Ig/EBP
P02495745T0000|62 67|AK-124
P07844142A0640|62 67|SR beta
P09154822T0000|62 66|v-abl
